,game_name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
713,Code Lyoko: Quest for Infinity,Wii,2007,Action,Game Factory,0.07,0.01,0.0,0.01,0.09,58.0,8.5
715,Coded Arms,PSP,2005,Shooter,Konami Digital Entertainment,0.28,0.29,0.0,0.17,0.75,59.0,6.5
716,Coded Arms: Contagion,PSP,2007,Shooter,Konami Digital Entertainment,0.05,0.0,0.0,0.01,0.06,56.0,6.6
720,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.,PS2,2005,Platform,Global Star,0.05,0.04,0.0,0.01,0.1,49.0,8.0
723,Codename: Panzers Phase Two,PC,2005,Strategy,CDV Software Entertainment,0.0,0.01,0.0,0.0,0.01,80.0,8.1
724,Cold Fear,PS2,2005,Action,Ubisoft,0.06,0.04,0.0,0.01,0.11,68.0,7.7
725,Cold Fear,XB,2005,Action,Ubisoft,0.05,0.01,0.0,0.0,0.06,71.0,7.6
726,Cold War,XB,2005,Shooter,DreamCatcher Interactive,0.02,0.01,0.0,0.0,0.02,60.0,8.0
727,Cold Winter,PS2,2005,Shooter,Vivendi Games,0.06,0.04,0.0,0.01,0.11,73.0,8.2
728,Colin McRae Rally 04,XB,2004,Racing,Codemasters,0.08,0.02,0.0,0.0,0.1,84.0,8.1
729,Colin McRae Rally 04,PC,2004,Racing,Codemasters,0.0,0.01,0.0,0.0,0.01,87.0,7.2
730,Colin McRae Rally 2005,XB,2004,Racing,Codemasters,0.04,0.01,0.0,0.0,0.05,83.0,7.5
731,Colin McRae Rally 2005,PC,2004,Racing,Codemasters,0.0,0.01,0.0,0.0,0.02,83.0,7.1
732,College Hoops 2K6,X360,2006,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,70.0,7.3
733,College Hoops 2K6,XB,2005,Sports,Take-Two Interactive,0.07,0.02,0.0,0.0,0.1,82.0,9.2
734,College Hoops 2K7,X360,2006,Sports,Take-Two Interactive,0.2,0.0,0.0,0.02,0.21,82.0,8.2
735,College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01,0.18,81.0,7.1
737,College Hoops 2K8,X360,2007,Sports,Take-Two Interactive,0.16,0.0,0.0,0.01,0.18,81.0,6.9
738,College Hoops 2K8,PS3,2007,Sports,Take-Two Interactive,0.13,0.0,0.0,0.01,0.14,82.0,5.2
740,Colosseum: Road to Freedom,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.03,0.0,0.01,0.07,56.0,8.3
741,Combat Mission: Shock Force,PC,2007,Strategy,Paradox Interactive,0.0,0.03,0.0,0.0,0.03,62.0,3.3
742,Combat: Task Force 121,XB,2005,Shooter,Zoo Digital Publishing,0.05,0.02,0.0,0.0,0.07,44.0,8.5
752,Commandos: Strike Force,PS2,2006,Shooter,Eidos Interactive,0.03,0.02,0.0,0.01,0.06,58.0,8.5
754,Company of Heroes,PC,2006,Strategy,THQ,0.0,0.04,0.0,0.01,0.05,93.0,8.8
755,Company of Heroes: Opposing Fronts,PC,2007,Strategy,THQ,0.01,0.03,0.0,0.01,0.04,87.0,8.6
756,Conan,PS3,2007,Action,THQ,0.13,0.15,0.0,0.05,0.34,69.0,7.2
757,Conan,X360,2007,Action,THQ,0.16,0.02,0.0,0.01,0.19,69.0,7.3
758,Condemned 2: Bloodshot,X360,2008,Action,Sega,0.38,0.19,0.0,0.06,0.63,80.0,8.4
759,Condemned 2: Bloodshot,PS3,2008,Action,Sega,0.17,0.16,0.0,0.06,0.39,82.0,8.1
760,Condemned: Criminal Origins,X360,2005,Action,Sega,0.36,0.02,0.0,0.03,0.41,81.0,8.2
761,Conflict: Denied Ops,X360,2008,Shooter,Eidos Interactive,0.08,0.09,0.0,0.02,0.19,52.0,4.9
762,Conflict: Denied Ops,PS3,2008,Shooter,Eidos Interactive,0.05,0.1,0.0,0.03,0.19,51.0,3.1
763,Conflict: Denied Ops,PC,2008,Shooter,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,58.0,4.8
765,Conflict: Global Terror,PS2,2005,Shooter,Eidos Interactive,0.09,0.07,0.0,0.02,0.19,62.0,8.5
766,Conflict: Global Terror,XB,2005,Shooter,SCi,0.08,0.02,0.0,0.0,0.1,62.0,7.9
767,Conflict: Vietnam,PS2,2004,Shooter,SCi,0.26,0.2,0.0,0.07,0.53,58.0,8.1
768,Conflict: Vietnam,XB,2004,Shooter,SCi,0.17,0.05,0.0,0.01,0.22,60.0,7.3
771,Constantine,PS2,2005,Action,SCi,0.05,0.04,0.0,0.01,0.11,58.0,7.4
772,Constantine,XB,2005,Action,SCi,0.04,0.01,0.0,0.0,0.06,60.0,7.1
773,Contact,DS,2006,Role-Playing,Rising Star Games,0.07,0.0,0.03,0.01,0.1,73.0,8.2
774,Contra 4,DS,2007,Shooter,Konami Digital Entertainment,0.28,0.0,0.01,0.02,0.3,83.0,8.4
776,Cooking Mama,DS,2006,Simulation,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,7.2
777,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,1.6,1.49,0.1,0.39,3.58,70.0,8.0
778,Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.41,1.12,0.05,0.3,2.89,61.0,5.3
779,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,62.0,4.9
780,Corvette,PS2,2004,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33,57.0,6.5
784,Cosmic Family,Wii,2007,Misc,Ubisoft,0.07,0.0,0.0,0.01,0.08,54.0,5.7
786,Counter-Strike: Source,PC,2004,Shooter,Vivendi Games,0.0,0.07,0.0,0.02,0.08,88.0,8.9
787,Crackdown,X360,2007,Shooter,Microsoft Game Studios,1.0,0.53,0.03,0.18,1.75,83.0,8.0
789,Cranium Kabookii,Wii,2007,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.14,64.0,5.4
790,Crash 'N' Burn,PS2,2004,Racing,Eidos Interactive,0.11,0.08,0.0,0.03,0.21,63.0,8.0
791,Crash 'N' Burn,XB,2004,Racing,Eidos Interactive,0.07,0.02,0.0,0.0,0.09,65.0,6.4
