,game_name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
1265,F.E.A.R. Perseus Mandate,PC,2007,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.01,61.0,7.3
1268,Fable,XB,2004,Role-Playing,Microsoft Game Studios,1.99,0.58,0.0,0.09,2.66,85.0,8.5
1269,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.0,6.5
1270,Fable: The Lost Chapters,PC,2005,Role-Playing,Microsoft Game Studios,0.01,0.05,0.0,0.01,0.07,83.0,8.7
1272,FaceBreaker,X360,2008,Fighting,Electronic Arts,0.15,0.02,0.0,0.02,0.19,54.0,6.3
1273,FaceBreaker,PS3,2008,Fighting,Electronic Arts,0.13,0.02,0.0,0.02,0.17,53.0,3.8
1274,FaceBreaker K.O. Party,Wii,2008,Fighting,Electronic Arts,0.19,0.01,0.0,0.02,0.22,61.0,5.6
1276,Falcon 4.0: Allied Force,PC,2005,Simulation,Graphsim Entertainment,0.0,0.02,0.0,0.0,0.02,90.0,8.6
1277,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,8.5
1278,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,2.15,1.13,0.07,0.59,3.94,90.0,8.0
1279,Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0.0,0.08,0.98,91.0,7.9
1281,Fallout: Brotherhood of Steel,PS2,2004,Role-Playing,Avalon Interactive,0.03,0.03,0.0,0.01,0.07,64.0,4.1
1282,Fallout: Brotherhood of Steel,XB,2004,Role-Playing,Avalon Interactive,0.04,0.01,0.0,0.0,0.05,66.0,5.5
1303,Family Guy,PSP,2006,Action,Take-Two Interactive,0.18,0.0,0.0,0.02,0.19,51.0,6.3
1305,Family Party: 30 Great Games,Wii,2008,Misc,D3Publisher,0.08,0.01,0.0,0.01,0.09,42.0,1.0
1306,Fantastic 4,PS2,2005,Action,Activision,0.41,0.01,0.0,0.07,0.5,64.0,7.8
1307,Fantastic 4,XB,2005,Action,Activision,0.2,0.06,0.0,0.01,0.27,62.0,6.6
1308,Fantastic 4,GC,2005,Action,Activision,0.19,0.05,0.0,0.01,0.24,61.0,4.0
1310,Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,Take-Two Interactive,0.19,0.15,0.0,0.05,0.39,36.0,6.4
1311,Fantastic Four: Rise of the Silver Surfer,PS3,2007,Action,Take-Two Interactive,0.12,0.02,0.0,0.02,0.15,47.0,6.2
1312,Fantastic Four: Rise of the Silver Surfer,X360,2007,Action,Take-Two Interactive,0.1,0.01,0.0,0.01,0.11,45.0,5.4
1313,Fantastic Four: Rise of the Silver Surfer,Wii,2007,Action,Take-Two Interactive,0.04,0.01,0.0,0.0,0.05,39.0,5.9
1314,Fantastic Four: Rise of the Silver Surfer,DS,2007,Action,Take-Two Interactive,0.04,0.0,0.0,0.0,0.04,35.0,4.8
1316,Far Cry,PC,2004,Shooter,Ubisoft,0.0,0.04,0.0,0.01,0.05,89.0,8.1
1317,Far Cry 2,X360,2008,Action,Ubisoft,0.71,0.69,0.02,0.18,1.59,85.0,6.7
1318,Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.69,0.01,0.26,1.38,85.0,6.4
1319,Far Cry 2,PC,2008,Action,Ubisoft,0.01,0.45,0.0,0.03,0.48,85.0,5.8
1320,Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57,85.0,5.7
1321,Far Cry Instincts Evolution,XB,2006,Shooter,Ubisoft,0.06,0.02,0.0,0.0,0.08,78.0,6.3
1322,Far Cry Instincts Predator,X360,2006,Shooter,Ubisoft,0.2,0.03,0.0,0.02,0.24,78.0,6.2
1323,Far Cry Vengeance,Wii,2006,Shooter,Ubisoft,0.06,0.01,0.0,0.01,0.08,38.0,5.3
1327,Fatal Frame II: Crimson Butterfly Director's Cut,XB,2004,Action,Microsoft Game Studios,0.04,0.01,0.0,0.0,0.05,84.0,8.3
1328,Fatal Frame III: The Tormented,PS2,2005,Action,Take-Two Interactive,0.04,0.03,0.0,0.01,0.08,78.0,8.9
1329,Fatal Fury: Battle Archives Volume 1,PS2,2006,Fighting,Ignition Entertainment,0.02,0.01,0.0,0.0,0.04,68.0,8.3
1333,Fatal Inertia,X360,2007,Racing,Tecmo Koei,0.12,0.0,0.0,0.01,0.13,61.0,4.2
1338,Fear Factor: Unleashed,GBA,2004,Action,Hip Interactive,0.1,0.04,0.0,0.0,0.14,30.0,3.0
1339,Feel the Magic XY/XX,DS,2004,Puzzle,Sega,0.17,0.0,0.1,0.02,0.29,75.0,8.1
1341,Ferrari Challenge Trofeo Pirelli,PS3,2008,Racing,System 3 Arcade Software,0.0,0.03,0.0,0.01,0.04,71.0,6.2
1343,Field Commander,PSP,2006,Strategy,Sony Online Entertainment,0.14,0.0,0.0,0.01,0.16,77.0,7.8
1345,FIFA 06: Road to FIFA World Cup,X360,2005,Sports,Electronic Arts,0.11,0.02,0.01,0.01,0.15,62.0,6.0
1346,FIFA Soccer,PSP,2005,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12,73.0,7.7
1347,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,7.8
1348,FIFA Soccer 06,XB,2005,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,80.0,7.5
1349,FIFA Soccer 06,PSP,2005,Sports,Electronic Arts,0.1,0.0,0.0,0.01,0.11,77.0,7.7
1358,FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,0.68,0.0,0.0,2.46,3.14,83.0,6.5
1359,FIFA Soccer 08,PS3,2007,Sports,Electronic Arts,0.35,1.06,0.02,0.31,1.75,81.0,7.1
1360,FIFA Soccer 08,PSP,2007,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35,79.0,7.4
1361,FIFA Soccer 08,X360,2007,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35,82.0,7.9
1362,FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,65.0,6.1
1364,FIFA Soccer 08,PC,2007,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.02,77.0,6.1
1365,FIFA Soccer 09,PS3,2008,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.58,87.0,7.5
1366,FIFA Soccer 09,PS2,2008,Sports,Electronic Arts,0.38,0.07,0.01,1.82,2.28,82.0,6.9
1367,FIFA Soccer 09,X360,2008,Sports,Electronic Arts,0.49,1.26,0.01,0.18,1.94,87.0,8.0
1368,FIFA Soccer 09,PSP,2008,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35,84.0,8.9
1369,FIFA Soccer 09,DS,2008,Sports,Electronic Arts,0.12,0.31,0.0,0.06,0.49,84.0,6.1
1370,FIFA Soccer 09,PC,2008,Sports,Electronic Arts,0.0,0.02,0.0,0.0,0.02,77.0,6.8
1371,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.28,0.51,0.0,0.09,0.89,80.0,8.4
1372,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7,81.0,7.6
1373,FIFA Soccer 2005,XB,2004,Sports,Electronic Arts,0.33,0.6,0.0,0.04,0.97,81.0,8.7
1374,FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14,78.0,8.5
1375,FIFA Soccer 2005,GBA,2004,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08,75.0,7.8
1376,FIFA Street,PS2,2005,Sports,Electronic Arts,0.15,0.12,0.0,0.04,0.31,59.0,7.9
1377,FIFA Street,XB,2005,Sports,Electronic Arts,0.08,0.02,0.0,0.0,0.1,60.0,8.0
1379,FIFA Street 2,PS2,2006,Sports,Electronic Arts,0.17,0.13,0.02,0.04,0.37,59.0,7.7
1380,FIFA Street 2,PSP,2006,Sports,Electronic Arts,0.07,0.05,0.0,0.02,0.13,58.0,6.9
1381,FIFA Street 2,GC,2006,Sports,Electronic Arts,0.09,0.02,0.0,0.0,0.11,63.0,5.7
1382,FIFA Street 2,XB,2006,Sports,Electronic Arts,0.06,0.02,0.0,0.0,0.08,63.0,7.1
1383,FIFA Street 2,DS,2006,Sports,Electronic Arts,0.04,0.0,0.0,0.0,0.04,43.0,7.5
1384,FIFA Street 3,PS3,2008,Sports,Electronic Arts,0.08,0.18,0.0,0.06,0.32,63.0,6.9
1385,FIFA Street 3,X360,2008,Sports,Electronic Arts,0.14,0.14,0.0,0.03,0.32,63.0,6.9
1387,FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,77.0,8.1
1388,FIFA World Cup Germany 2006,X360,2006,Sports,Electronic Arts,0.19,0.27,0.01,0.0,0.48,72.0,6.6
1389,FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.24,77.0,8.4
1390,FIFA World Cup Germany 2006,GC,2006,Sports,Electronic Arts,0.1,0.03,0.0,0.0,0.13,76.0,6.2
1391,FIFA World Cup Germany 2006,PSP,2006,Sports,Electronic Arts,0.1,0.0,0.0,0.01,0.11,72.0,7.3
1392,FIFA World Cup Germany 2006,DS,2006,Sports,Electronic Arts,0.03,0.0,0.0,0.0,0.04,71.0,7.2
1393,FIFA World Cup: Germany 2006,GBA,2006,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03,57.0,6.9
1394,Fight Club,PS2,2004,Fighting,Vivendi Games,0.09,0.07,0.0,0.02,0.18,36.0,4.4
1395,Fight Club,XB,2004,Fighting,Vivendi Games,0.08,0.02,0.0,0.0,0.11,37.0,4.7
1396,Fight Night 2004,PS2,2004,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48,85.0,9.0
1397,Fight Night 2004,XB,2004,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,85.0,8.7
1398,Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87,88.0,9.0
1399,Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6,88.0,8.8
1400,Fight Night Round 2,GC,2005,Fighting,Electronic Arts,0.13,0.03,0.0,0.0,0.17,87.0,7.9
1402,Fight Night Round 3,PS3,2006,Fighting,Electronic Arts,0.81,0.58,0.01,0.26,1.67,83.0,7.9
1403,Fight Night Round 3,PS2,2006,Fighting,Electronic Arts,1.07,0.4,0.0,0.1,1.56,84.0,8.1
1404,Fight Night Round 3,X360,2006,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47,86.0,8.8
1405,Fight Night Round 3,PSP,2006,Fighting,Electronic Arts,0.46,0.01,0.0,0.04,0.52,74.0,8.1
1406,Fight Night Round 3,XB,2006,Fighting,Electronic Arts,0.26,0.06,0.0,0.01,0.33,83.0,9.0
1408,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.58,67.0,7.7
1409,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007,Role-Playing,Square Enix,0.22,0.01,0.42,0.02,0.66,77.0,7.2
1410,Final Fantasy Fables: Chocobo Tales,DS,2006,Adventure,Ubisoft,0.1,0.01,0.12,0.01,0.24,75.0,7.4
1411,Final Fantasy Fables: Chocobo's Dungeon,Wii,2007,Role-Playing,Square Enix,0.09,0.0,0.11,0.01,0.21,76.0,8.0
1413,Final Fantasy II Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.36,0.02,0.07,0.04,0.5,63.0,7.1
1414,Final Fantasy III,DS,2006,Role-Playing,Square Enix,0.89,0.04,1.07,0.09,2.08,77.0,7.1
1415,Final Fantasy IV,DS,2007,Simulation,Square Enix,0.51,0.04,0.62,0.05,1.21,85.0,7.7
1416,Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61,85.0,7.3
1417,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007,Role-Playing,Square Enix,0.38,0.03,0.3,0.04,0.75,80.0,6.9
1418,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.24,0.3,0.16,1.16,88.0,8.0
1419,Final Fantasy V Advance,GBA,2006,Role-Playing,Nintendo,0.0,0.0,0.26,0.01,0.26,83.0,7.2
1420,Final Fantasy VI Advance,GBA,2006,Role-Playing,Nintendo,0.0,0.0,0.28,0.01,0.28,92.0,8.4
1423,Final Fantasy XI,X360,2006,Role-Playing,Square Enix,0.17,0.01,0.0,0.01,0.19,66.0,6.5
1425,Final Fantasy XI: Chains of Promathia,PS2,2004,Role-Playing,Square Enix,0.12,0.09,0.0,0.03,0.25,77.0,8.0
1426,Final Fantasy XI: Treasures of Aht Urhgan,PS2,2006,Role-Playing,Square Enix,0.06,0.05,0.1,0.02,0.23,87.0,7.1
1430,Final Fantasy XI: Wings of the Goddess,X360,2007,Role-Playing,Square Enix,0.26,0.0,0.02,0.02,0.3,63.0,5.8
1431,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,7.6
1433,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.33,0.41,0.54,0.1,1.37,81.0,6.1
1434,Final Fight: Streetwise,PS2,2006,Action,Capcom,0.03,0.02,0.0,0.01,0.05,43.0,6.2
1435,Final Fight: Streetwise,XB,2006,Action,Capcom,0.01,0.0,0.0,0.0,0.02,42.0,4.0
1439,Fire Emblem: Path of Radiance,GC,2005,Action,Nintendo,0.29,0.08,0.16,0.01,0.54,85.0,8.9
1440,Fire Emblem: Radiant Dawn,Wii,2007,Strategy,Nintendo,0.27,0.03,0.17,0.03,0.49,78.0,8.7
1441,Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,0.29,0.02,0.27,0.03,0.61,81.0,7.0
1442,Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,85.0,9.1
1443,Fire Pro Wrestling Returns,PS2,2005,Sports,505 Games,0.04,0.03,0.0,0.01,0.09,78.0,8.5
1445,Fish Tycoon,DS,2007,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26,46.0,7.0
1446,Fishing Master,Wii,2007,Misc,Konami Digital Entertainment,0.29,0.0,0.0,0.02,0.31,58.0,8.1
1448,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.86,1.56,1.05,0.35,3.83,59.0,4.0
1449,FlatOut,PS2,2004,Racing,Empire Interactive,0.19,0.15,0.0,0.05,0.38,70.0,8.5
1450,FlatOut,XB,2004,Racing,Empire Interactive,0.12,0.04,0.0,0.01,0.17,71.0,8.2
1451,FlatOut 2,PS2,2006,Racing,Empire Interactive,0.08,0.06,0.0,0.02,0.16,73.0,7.5
1452,FlatOut 2,XB,2006,Racing,Empire Interactive,0.03,0.01,0.0,0.0,0.04,73.0,7.3
1453,FlatOut: Head On,PSP,2008,Racing,Empire Interactive,0.13,0.1,0.0,0.06,0.29,74.0,8.2
1454,FlatOut: Ultimate Carnage,X360,2007,Racing,Empire Interactive,0.07,0.02,0.0,0.01,0.11,80.0,8.8
1455,FlatOut: Ultimate Carnage,PC,2008,Racing,Empire Interactive,0.0,0.01,0.0,0.0,0.01,79.0,7.7
1459,"Flower, Sun, and Rain",DS,2008,Adventure,Rising Star Games,0.06,0.0,0.0,0.0,0.07,54.0,7.1
1462,Folklore,PS3,2007,Role-Playing,Sony Computer Entertainment,0.2,0.04,0.05,0.03,0.32,75.0,8.2
1469,Ford Mustang: The Legend Lives,PS2,2005,Racing,Take-Two Interactive,0.14,0.11,0.0,0.04,0.29,58.0,7.3
1471,Ford Racing 3,PS2,2004,Racing,Take-Two Interactive,0.13,0.1,0.0,0.03,0.26,50.0,6.6
1475,Ford Racing Off Road,Wii,2008,Racing,Xplosiv,0.06,0.39,0.0,0.01,0.47,37.0,6.3
1480,Forgotten Realms: Demon Stone,PS2,2004,Action,Atari,0.1,0.08,0.0,0.03,0.2,71.0,6.8
1481,Forgotten Realms: Demon Stone,XB,2004,Action,Atari,0.06,0.02,0.0,0.0,0.09,72.0,6.5
1484,Forza Motorsport,XB,2005,Racing,Microsoft Game Studios,0.52,0.51,0.0,0.02,1.05,92.0,7.6
1485,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,1.27,0.03,0.41,4.05,90.0,8.3
1486,Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.83,0.0,0.0,0.06,0.89,70.0,7.9
1489,Fracture,X360,2008,Shooter,LucasArts,0.15,0.14,0.0,0.04,0.33,63.0,6.2
1490,Fracture,PS3,2008,Shooter,LucasArts,0.11,0.04,0.0,0.02,0.16,62.0,5.8
1497,Freedom Wings,DS,2006,Simulation,Natsume,0.02,0.0,0.0,0.0,0.02,46.0,7.7
1501,Frogger: Ancient Shadow,PS2,2005,Platform,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.1,54.0,4.0
1504,Frogger: Helmet Chaos,PSP,2005,Platform,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.11,66.0,6.4
1506,From Russia With Love,PS2,2005,Action,Electronic Arts,0.34,0.01,0.0,0.06,0.41,69.0,7.6
1507,From Russia With Love,GC,2005,Action,Electronic Arts,0.17,0.04,0.0,0.01,0.22,70.0,8.5
1508,From Russia With Love,XB,2005,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2,71.0,8.8
1509,From Russia With Love,PSP,2006,Action,Electronic Arts,0.07,0.0,0.0,0.01,0.08,61.0,6.9
1510,From The Abyss,DS,2008,Role-Playing,Nobilis,0.06,0.0,0.0,0.0,0.06,59.0,8.0
1511,Front Mission,DS,2007,Strategy,Square Enix,0.01,0.0,0.03,0.0,0.04,72.0,8.9
1514,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.34,0.15,0.01,0.05,0.56,75.0,7.8
1515,Frontlines: Fuel of War,PC,2008,Shooter,THQ,0.0,0.02,0.0,0.0,0.02,73.0,6.9
1516,Full Auto,X360,2006,Shooter,Sega,0.19,0.01,0.0,0.02,0.22,70.0,7.8
1517,Full Auto 2: Battlelines,PS3,2006,Racing,Sega,0.14,0.02,0.0,0.02,0.18,67.0,7.6
1519,Full Spectrum Warrior,XB,2004,Strategy,THQ,0.54,0.16,0.0,0.03,0.73,84.0,8.7
1520,Full Spectrum Warrior,PS2,2005,Strategy,THQ,0.15,0.11,0.0,0.04,0.3,74.0,8.0
1521,Full Spectrum Warrior: Ten Hammers,PS2,2006,Strategy,THQ,0.03,0.02,0.0,0.01,0.07,71.0,8.0
1523,Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004,Role-Playing,Square Enix,0.13,0.1,0.0,0.03,0.27,67.0,8.4
1524,Fullmetal Alchemist: Dual Sympathy,DS,2005,Role-Playing,Empire Interactive,0.05,0.0,0.04,0.0,0.09,58.0,7.3
1525,Fullmetal Alchemist: Trading Card Game,DS,2007,Misc,Destineer,0.01,0.0,0.0,0.0,0.01,61.0,7.5
1526,Furu Furu Park,Wii,2007,Misc,Taito,0.05,0.0,0.0,0.0,0.05,43.0,4.8
1528,Future Tactics: The Uprising,PS2,2004,Strategy,Crave Entertainment,0.03,0.03,0.0,0.01,0.07,61.0,6.0
1532,Fuzion Frenzy 2,X360,2007,Misc,Microsoft Game Studios,0.14,0.01,0.0,0.01,0.17,49.0,5.2
1538,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22,61.0,8.0
1542,Galleon: Islands of Mystery,XB,2004,Action,SCi,0.02,0.01,0.0,0.0,0.03,67.0,7.0
1544,Gallop Racer 2004,PS2,2004,Sports,Zoo Digital Publishing,0.03,0.02,0.0,0.01,0.06,70.0,8.7
1545,Gallop Racer 2006,PS2,2005,Sports,Tecmo Koei,0.02,0.02,0.06,0.01,0.1,69.0,8.3
1547,Game Party,Wii,2007,Misc,Midway Games,1.47,0.77,0.0,0.24,2.48,25.0,4.3
1548,Game Party 2,Wii,2008,Misc,Midway Games,1.28,0.43,0.0,0.17,1.88,29.0,4.6
1552,Gangs of London,PSP,2006,Adventure,Sony Computer Entertainment,0.3,0.43,0.0,0.22,0.95,52.0,6.7
1558,Gauntlet: Seven Sorrows,PS2,2005,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4,59.0,5.7
1559,Gauntlet: Seven Sorrows,XB,2005,Role-Playing,Midway Games,0.14,0.04,0.0,0.01,0.18,61.0,7.8
1560,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,8.3
1561,Gears of War,PC,2007,Shooter,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.02,87.0,7.8
1562,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,7.7
1564,Geist,GC,2005,Adventure,Nintendo,0.11,0.03,0.0,0.0,0.15,66.0,8.5
1565,Generation of Chaos,PSP,2005,Role-Playing,Midas Interactive Entertainment,0.05,0.0,0.0,0.0,0.06,60.0,7.7
1566,Genji: Dawn of the Samurai,PS2,2005,Action,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,74.0,8.3
1567,Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.18,0.37,0.06,0.14,0.75,55.0,5.8
1569,Geometry Wars: Galaxies,DS,2007,Shooter,Vivendi Games,0.13,0.0,0.0,0.01,0.14,79.0,7.9
1570,Geometry Wars: Galaxies,Wii,2007,Shooter,Vivendi Games,0.11,0.0,0.0,0.01,0.12,80.0,8.2
1572,George of the Jungle and the Search for the Secret,Wii,2008,Platform,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02,35.0,4.0
1573,Get On Da Mic,PS2,2004,Misc,Eidos Interactive,0.07,0.06,0.0,0.02,0.15,49.0,6.3
1575,Ghost in the Shell: Stand Alone Complex,PSP,2005,Adventure,Atari,0.06,0.0,0.0,0.01,0.07,61.0,7.4
1576,Ghost Rider,PSP,2007,Action,Take-Two Interactive,0.22,0.0,0.0,0.02,0.24,49.0,5.7
1577,Ghost Squad,Wii,2007,Shooter,Sega,0.42,0.21,0.08,0.07,0.77,69.0,7.5
1585,Glory Days 2,DS,2007,Strategy,Ghostlight,0.08,0.0,0.0,0.01,0.09,73.0,7.3
1586,Glory of Heracles,DS,2008,Role-Playing,Nintendo,0.19,0.0,0.08,0.01,0.29,69.0,7.3
1595,God Hand,PS2,2006,Action,Capcom,0.0,0.0,0.07,0.0,0.07,73.0,7.7
1596,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,8.9
1597,God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,93.0,8.9
1598,God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.48,1.0,0.04,0.66,3.18,91.0,8.6
1599,Godzilla Unleashed,Wii,2007,Fighting,Atari,0.14,0.0,0.0,0.01,0.16,44.0,7.2
1600,Godzilla Unleashed: Double Smash,DS,2007,Action,Atari,0.11,0.0,0.0,0.01,0.12,28.0,4.9
1601,Godzilla: Save the Earth,PS2,2004,Fighting,Atari,0.23,0.18,0.0,0.06,0.47,62.0,8.7
1602,Godzilla: Save the Earth,XB,2004,Fighting,Atari,0.1,0.03,0.0,0.0,0.14,63.0,8.2
1606,Golden Axe: Beast Rider,X360,2008,Action,Sega,0.19,0.11,0.0,0.03,0.33,45.0,5.8
1607,Golden Axe: Beast Rider,PS3,2008,Action,Sega,0.13,0.14,0.0,0.06,0.32,44.0,5.6
1611,GoldenEye: Rogue Agent,PS2,2004,Shooter,Electronic Arts,0.54,0.02,0.0,0.09,0.64,60.0,7.0
1612,GoldenEye: Rogue Agent,XB,2004,Shooter,Electronic Arts,0.34,0.13,0.0,0.02,0.49,61.0,7.2
1613,GoldenEye: Rogue Agent,GC,2004,Shooter,Electronic Arts,0.28,0.07,0.0,0.01,0.36,60.0,6.7
1614,GoldenEye: Rogue Agent,DS,2005,Shooter,Electronic Arts,0.1,0.0,0.0,0.01,0.11,58.0,7.5
1616,Goosebumps HorrorLand,Wii,2008,Adventure,Scholastic Inc.,0.15,0.0,0.0,0.01,0.16,37.0,3.5
1619,Gothic 3,PC,2006,Role-Playing,JoWood Productions,0.0,0.05,0.0,0.01,0.06,63.0,7.3
1623,Gradius Collection,PSP,2006,Shooter,Konami Digital Entertainment,0.04,0.0,0.02,0.0,0.06,76.0,8.5
1624,Gradius V,PS2,2004,Shooter,Konami Digital Entertainment,0.05,0.04,0.0,0.01,0.09,82.0,8.5
1625,Graffiti Kingdom,PS2,2004,Role-Playing,505 Games,0.01,0.01,0.0,0.0,0.03,71.0,7.1
1626,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,8.5
1627,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,80.0,7.1
1628,Grand Theft Auto,GBA,2004,Action,Take-Two Interactive,0.17,0.06,0.0,0.0,0.24,68.0,7.1
1629,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,7.9
1630,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,7.5
1631,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.07,0.88,90.0,6.6
1632,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,7.6
1633,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54,78.0,7.8
1634,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,9.0
1635,Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,93.0,8.6
1636,Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0.0,0.93,0.0,0.04,0.97,93.0,8.9
1638,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,5.03,86.0,8.0
1639,Grand Theft Auto: Vice City Stories,PS2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,75.0,7.9
1640,Grandia III,PS2,2005,Role-Playing,Square Enix,0.12,0.1,0.24,0.03,0.49,77.0,8.3
1641,Greg Hastings' Tournament Paintball,XB,2004,Shooter,Activision,0.46,0.06,0.0,0.02,0.54,74.0,9.2
1642,Greg Hastings' Tournament Paintball Max'd,DS,2006,Shooter,Activision,0.03,0.0,0.0,0.0,0.04,39.0,7.4
1644,Greg Hastings' Tournament Paintball Max'd,PS2,2006,Shooter,Activision,0.01,0.0,0.0,0.0,0.01,70.0,9.2
1645,Gretzky NHL,PSP,2005,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.01,0.1,61.0,7.4
1646,Gretzky NHL 06,PSP,2005,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.14,65.0,6.8
1648,Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.07,0.0,0.02,0.17,66.0,9.1
1649,GRID,PS3,2008,Racing,Codemasters,0.31,0.56,0.03,0.2,1.1,87.0,8.1
